Attendance,Hours_Studied,Previous_Scores,Tutoring_Sessions,Physical_Activity,Sleep_Hours,Parental_Involvement_Low,Exam_Score
84,23,73,0,3,7,1,67
64,19,59,2,4,8,1,61
98,24,91,2,4,7,0,74
89,29,98,1,4,8,1,71
92,19,65,3,4,6,0,70
88,19,89,3,3,8,0,71
84,29,68,1,2,7,0,67
78,25,50,1,2,6,1,66
94,17,80,0,1,6,0,69
98,23,71,0,5,8,0,72
80,17,88,4,4,8,1,68
97,17,87,2,2,6,0,71
83,21,97,2,4,8,0,70
82,9,72,2,3,8,0,66
78,10,74,1,4,8,0,65
68,17,70,2,4,8,0,64
60,14,65,0,3,10,0,60
70,22,82,1,3,6,1,65
80,15,91,3,2,9,0,67
75,12,58,3,4,7,0,66
78,29,99,0,1,5,0,69
99,19,84,1,3,6,0,72
74,20,89,1,2,8,0,66
78,11,100,1,3,8,0,66
65,17,75,2,3,5,1,63
62,21,54,0,3,6,0,64
91,13,90,1,2,6,1,65
83,22,94,0,2,6,0,71
90,16,58,1,3,4,0,66
66,18,51,2,2,4,0,64
83,16,57,0,4,6,1,63
70,31,66,1,3,7,0,69
69,20,96,2,3,8,0,67
60,14,50,2,3,5,0,61
65,25,90,2,3,5,0,68
72,13,93,1,3,6,1,61
65,21,91,2,3,7,0,64
99,8,54,2,5,9,0,67
72,12,84,1,5,8,1,63
65,21,98,1,4,6,1,64
68,24,56,3,1,8,0,67
84,21,52,1,2,6,0,65
63,19,94,1,3,7,1,64
94,18,82,3,2,7,0,70
98,11,82,1,3,9,0,68
70,16,98,2,3,8,0,65
78,17,88,1,3,6,0,68
61,26,70,2,3,6,0,64
86,22,72,3,2,7,1,68
77,9,57,2,3,5,0,63
71,22,65,1,4,7,1,64
68,18,72,0,3,7,0,64
86,16,63,2,4,8,1,67
77,24,96,0,3,8,0,67
67,26,51,2,4,7,0,66
88,26,79,1,4,5,0,72
83,15,89,1,2,5,0,65
94,18,87,1,4,6,0,71
65,22,82,2,1,8,0,66
91,26,71,0,3,8,0,68
87,17,96,1,5,7,0,70
65,19,66,0,3,10,0,62
88,13,88,2,4,9,1,68
78,13,96,2,3,9,0,67
98,25,56,0,3,8,1,71
66,28,97,0,2,8,0,68
86,20,89,1,3,8,0,69
75,26,81,3,2,4,1,70
98,22,69,1,4,5,0,69
73,16,95,1,4,7,0,65
98,22,52,3,3,7,0,70
96,29,72,1,3,7,0,71
71,20,88,1,4,7,0,65
92,29,91,2,1,4,1,72
100,4,60,0,4,8,0,69
70,25,52,1,3,7,0,66
77,21,90,4,3,7,1,68
81,18,71,0,3,8,0,65
72,21,57,1,5,5,0,64
61,8,54,1,3,7,0,60
69,19,82,1,2,7,0,65
71,22,79,1,3,6,0,66
78,29,93,5,3,4,0,74
67,17,52,2,3,5,0,62
95,15,93,2,4,7,0,70
88,17,94,0,3,7,0,69
63,25,72,3,4,7,0,67
86,22,54,2,0,6,1,64
86,17,97,3,3,5,0,71
98,23,54,0,3,7,0,68
60,21,80,0,4,7,0,64
70,26,75,1,4,8,0,63
97,16,92,0,4,6,0,71
97,18,75,0,3,4,0,69
89,18,73,3,2,4,0,100
91,11,94,3,3,6,0,68
64,22,98,1,3,7,1,62
81,22,77,2,3,7,0,68
69,20,73,2,3,6,0,66
67,19,92,0,3,5,1,64
92,12,92,2,3,4,0,67
65,17,66,1,4,8,0,65
79,18,79,0,3,7,0,65
98,15,58,0,3,6,0,69
67,19,82,1,3,5,0,63
99,22,92,3,4,6,0,72
100,31,59,2,5,7,0,76
82,21,66,3,3,7,0,69
67,22,72,3,2,7,0,67
